Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Nov,11/01/2015  00:00:00,"American Canyon, City of",stage 2 ,Yes,175,259,AF,,20080,45,,,5,AF,"19,551,086", 54.9 ,58,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Oildale Mutual Water Company,stage 2,Yes,465,641,AF,,33163,115.23,,,,AF,"36,821,211", 115.3 ,75.7,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,Livermore  City of Division of Water Resources,Stage 2,Yes,91.502,144.768,MG,,27588,62,,,,MG,"47,902,000", 61.9 ,56,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Gilroy  City of,2,Yes,145.013,205.91,MG,,53626,59,,,,MG,"29,283,000", 58.6 ,65,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Crescenta Valley Water District,Orangw,Yes,289.1,367.76,AF,The estimate of the percentage of water use by any classification is based on a annual average as the District bills bi-monthly.,31966,98.23,,most program changes were completed prior to April  of 2015.,0,AF,"11,303,786", 86.4 ,88,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Downey  City of,Restrict Use,Yes,1088.65,1376.55,AF,,111931,78.91,,,44.4,AF,"89,749,259", 78.9 ,74.7,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,San Gabriel Valley Water Company,CPUC 14.1 Stage 2,Yes,2376,2760,AF,,271817,57.4,,,158.75,AF,"250,631,884", 57.3 ,60.4,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Santa Clara  City of,3,Yes,368,524.7,MG,R-GPCD: Residential Sales / Population / Days in month. Based on sales data Residential sales: 203.6 MG Population: 120973(updated with Dept. of Finance data) Days in November: 30   ,120973,56.1,,,78.4,MG,"226,300,000", 48.0 ,47.3,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Paradise Irrigation District,2,Yes,95600000,117400000,G,,26032,106,,,,G,"7,648,000", 106.5 ,87,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Scotts Valley Water District,2,Yes,24110286,34868300,G,"24,110,286 x.70= 16,877'200 res. gal used ÷10509 people= 1606 gal.per person ÷ 30 days= 53GPCD for November 2015.  Single family 58%, Multi family 6%, Residential irrigation 6% = 70% of production demand. Commercial 22%, Comm. landscape 1% Unaccounted WL 7% ",10509,53,N/A,,2817778,G,"5,304,262", 53.5 ,70,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Lincoln  City of,Stage Two,Yes,145.292,224.6,MG,The City of Lincoln is actively involved in the Regional Water Authority's outreach and marketing program for water conservation. The region also recently teamed up with Save our Water for increased programming and outreach materials.  ,45837,84.315,,,0.014,MG,"21,604,000", 84.3 ,79.8,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Vaughn Water Company,2,Yes,200549053,267169479,G,"Our (R-GPCD) for the month of November 2015 is calculated as follows. 10,298 total connections in Nov. 2015 x 3.01people per connection= a population of 30,997. 96% of the 200,549,053 gallons produced = 192,527,091 gallons used by residential customers. 192,527,091 gallons used by residential customers in Nov. 2015/30,997/30 days = 207.00 (R-GPCD).",30997,207,"All (54) complaints were investigated as they came in the same day. Some of those complaints were possible leaks or broken sprinklers. Of those (54) complaints (51) wasting water notifications were issued to the residences. Those notifications were due to overwatering, watering on Mondays or watering on the wrong days.",,,G,"8,021,962", 207.0 ,96,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,McKinleyville Community Service District,2,Yes,28.939,34.879,MG,Our customers are metered. Residential info is gathered using 30 day billing cycle.  Recycled water is water used by customers and sent down the drains to the sewer system. Water is then treated and used to irrigate fields for hay crop instead of farmers using wells to irrigate.,16900,52,,,9.653,MG,"2,933,000", 52.5 ,92,No Correction,North Coast,
15-Nov,11/01/2015  00:00:00,Cambria Community Services District,stage 3,Yes,37.31,54.22,AF,estimate ,6032,36.95,0,,,AF,"4,281,688", 37.0 ,55,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Montebello Land and Water Company,2,Yes,240.79,274.56,AF,,32219,64.95,,,,AF,Null, 64.9 ,80,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Humboldt Community Service District,1,Yes,58986000,61434000,G,,20032,58.9,,,,G,"6,488,460", 58.9 ,60,No Correction,North Coast,
15-Nov,11/01/2015  00:00:00,Rohnert Park  City of,One,Yes,105.9,115,MG,,43398,71.9,,,5.1,MG,"17,900,000", 71.9 ,88.4,No Correction,North Coast,
15-Nov,11/01/2015  00:00:00,Valley of the Moon Water District,2,Yes,153,227.1,AF,,23478,71,,,0,AF,"4,496,750", 70.8 ,100,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Bellflower-Somerset Mutual Water Company,stage 1,Yes,365.24,426.79,AF,,46300,85.68,,,,AF,"16,660,783", 73.7 ,86,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Port Hueneme  City of,2,Yes,150.75,176.35,AF,,21555,64,,,,AF,"4,177,415", 63.9 ,84.18,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Petaluma  City of,Stage 2,Yes,237779,319290,CCF,,61798,57.89,,,,CCF,"85,675,138", 57.9 ,60.34,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Eureka  City of,3,Yes,74.23,81.865,MG,,26066,53,,,,MG,"31,180,000", 55.1 ,58,No Correction,North Coast,
15-Nov,11/01/2015  00:00:00,Diablo Water District,B,Yes,85.48,131.579,MG,,38194,60.4,"During our daily leak reporting from our smart meter reading system, we notice leaks, over irrigating, excessive use, irrigating more than the 3 days allowed, etc; which we make phone calls on daily and follow up to see if repairs or corrections are made. When we receive outside complaints from residents, we follow up with a phone call or doorhanger since the customer may not be aware of the problem. We have issued several warnings and are keeping track of who has received formal warnings for possible future violation penalties. We have started fining those who have not complied with formal written notices.",,,MG,"6,562,000", 60.4 ,81,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,El Toro Water District,Level 1,Yes,528.9,684.2,AF,,48628,76.74,"Effective July 1, 2015 imposed an Administrative Penalty of $2.00/ccf on customer's water bill for exceeding their combined indoor and outdoor efficient water budgets.  For the November billing period the District collected $56,248 from imposition of the Penalty.  Since imposition of the Penalty the District has collected $220,090 in Penalty Revenue.  Effective August 1, 2015 the District reduced the indoor GPCD from 60 to 55 and the outdoor water budget by 50%.",The District's recycled water conversion project continues to be implemented aggressively.   Potable water conversions for irrigation account for about 5% of our cumulative potable water reduction when compared to 2013.  Implementation of targeted drought and water conservation messaging continues.,58.3,AF,"24,315,033", 76.8 ,64.97,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Brentwood  City of,Stage III,Yes,157.59,260.5,MG,,56493,68.41,,"Additional staff of 3 has allowed the increase in water use evaluations. In November 92 water use evaluations were performed. 903 bill penalties were applied for customers exceeding their goal. Consumption rebates were issued to 11,222 customers who reduced by more than 36% from 2013.",5.007,MG,"23,980,000", 68.4 ,73.57,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,Fountain Valley  City of,2,Yes,639,770.3,AF,"Since we bill on a two month cycle, the percent of residential use is more accurate over a two month period. We completed the installation of an Advanced Metering Infrastructure system that will provide more accurate monthly billing information on August 25th. The City continues to support the turf removal program along with spray to drip and drought tolerant landscapes. On August 11th, the City launched a Water Portal on our website which allows residents to proactively monitor their usage and make necessary adjustments. Our Indirect Potable Reuse for this month was 190 AF and has not been backed out of our total monthly production amount. ",59227,51,,"Our City Council adopted a water conservation resolution that went into effect June 1, 2015 and includes the following; new outdoor watering restrictions that limit the days and duration of irrigation, does not allow outdoor watering during and within 48 hours of rainfall or any watering that causes runoff. Recommends all new plantings be drought tolerant and forbids washing down paved surfaces; All leaks to be repaired within 3 days; Hotels and motels are required to notify guests they have the option to not launder towels and linens, and restaurants are prohibited from providng drinking water unless requested. The use of temporary fire hydrant meters is prohibited meters is prohibited as is the filling or refilling of pools and spas. The City has turned off the irrigation to 220,000 square feet of median turf. In addition, the City sent out  postcards asking for voluntary cutbacks to 1 day per week watering for winter months. ",190,AF,"24,113,006", 50.4 ,43,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Tracy  City of,IV,Yes,877.7006,1230.622,AF,,85296,80.37,,,0,AF,"107,856,822", 80.5 ,72,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,Menlo Park  City of,2,Yes,77735,120729,CCF,,16066,44.1,,,0,CCF,"26,418,203", 77.7 ,64.4,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Patterson  City of,Stage II,Yes,56945312,94421016,G,"For CII water use, it only includes water use from commercial accounts but the majority of its use comes from our non-potable water distribution system, which is not included in the total production. This again is the reason why total consumption is over total production. This has occurred the last three months as well.",21094,88,,,,G,"8,408,268", 65.7 ,73,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,Garden Grove  City of,Stage 2,Yes,1820.1,1823.4,AF,"Garden Grove bills bimonthly, therefore, the percent of residential and CII use is more accurate over a two month period. A revised November 2015 report will be submitted once December 2015 billing data is available. ",177020,71.38,"The City received 19 reports for water wasting during the month of November. The City mailed 18 notification letters to each violator describing their water wasting activity. The reason only 18 letters were mailed, instead of 19, is because one house was reported twice during a short window. ","Since April 1, the City has implemented a Stage 2 in its water conservation ordinance, which limits outdoor watering to 3-4 days per week. Effective August 14, outdoor watering will be restricted to 2 days per week. Due to limited field staff, an Environmental Services Specialist and a Water Quality Technician has assisted in reporting and confirmed water wasting activities. ",,AF,"258,152,535", 71.5 ,64,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Merced  City of,Stage 2,Yes,344.13,547.27,MG,C.I.I water use is metered and is 20% of total demand on average,83400,99.03,,,0.25,MG,"68,830,000", 99.0 ,72,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,San Gabriel Valley Fontana Water Company,CPUC 14.1 Stage 2,Yes,2569,3219,AF,,209035,87.3,,,,AF,"245,535,567", 87.3 ,65.4,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Hesperia Water District City of,2,Yes,836,984,AF,"Due to billing on a bi-monthly basis, the percentage for residential use is inflated. Any bills that were dated on November 1st would include usage for the months of September and October.",91627,114,The District is continuing to monitor the City on its chosen non-watering days of Tuesdays and Thursdays. 2 employees have been added to monitor theses days along with checking for excessive water run off.,Outdoor irrigation days were reduced in June of this year to only allow for 5 days a week of irrigation. These changes are being monitored by 3 employees assigned to the Water Conservation division.,,AF,"58,979,108", 114.0 ,115,No Correction,South Lahontan,
15-Nov,11/01/2015  00:00:00,Moulton Niguel Water District,2,Yes,1954.2,2129.3,AF,"The ET in November of 2013 was 2.52 inches while the ET in November 2015 was 3.17.  Additionally, there was 1.31 inches of rain in November of 2013 and 0.44 inches of rain in November or 2015.  ",172068,86.2,"The District implemented penalties for water use above the individually calculated water budget starting in July 2015. Additionally, all customers who have recycled water readily available can no longer use potable water.  November 2015 saw the highest percentage of customers staying within their individually calculated water budget of any previous November since the inception of the water budget rate structure in 2011.","The District contacted 90 potable landscape customers who are over their budget representing over 25% of all dedicated landscape accounts in November.  Additionally, the District has a robust marketing strategy by targeting customers with irrigable area greater than 1,000 square feet with relevant conservation action oriented messages.    Messages have focused on only irrigating less than 4 minutes total per week and not irrigating for weeks after a rain event.  The District expanded social media marketing with paid advertisements for conservation actions and rebates in Facebook, Google, and Linkedin.  At the end of November 2015, the District finished running full page advertorials in the Sunday edition of the OC Register for 10 weeks with relevant conservation messages and the promotion of our landscape workshops. The District put conservation messages on hand sanitizer stations in supermarkets throughout the District.  The District is planning an event with its Home Owners Associations in January to provide customer water use reports and information on rebate opportunities to remove grass an install California native plants.  Effective December 1, 2015, all customers will receive a monthly bill.  Multi-Family, commercial and potable landscape accounts were billed bi-monthly previously.  ",479.3,AF,"201,376,182", 86.4 ,70,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Oxnard  City of,2,Yes,1837.75,2101.63,AF,,196720,61.47,,,60.76,AF,"199,802,319", 61.5 ,60.59,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,"Tehachapi, City of",3,Yes,100.141,131.05,AF,,8923,57.921,,,0,AF,"6,849,397", 70.9 ,58.18,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,La Habra  City of Public Works,Stage 2,Yes,646.47,704.26,AF,,63118,81.78,,,0,AF,"51,484,525", 83.4 ,75,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Lake Arrowhead Community Services District,"Stage 3 + Lvl 1: 0 irr 7.5 mos, 2 days/wk 4.5 mos",Yes,72.41,84.68,AF,"60% of the homes in our water service area are occupied part-time and are not accounted for in the census.  The actual population is calculated using wastewater flows which also provide seasonality.  Additional analysis using billing information confirms a seasonal population that ranges from 15,000 to 33,000.",22718,30.2,"The District has AMI on 100% of its meters and monitors and responds to all meters with high or constant usage.  Ordinances provide specific warning and penalty levels:  1st violation receives a written warning.  2nd violation in a calendar year receives a $250/day penalty, 3rd violation $500/day.  After that a water flow restricting device can be installed or water service turned off. ","Irrigation is restricted to specific hours two days per week.  No irrigation is allowed 7.5 months of the year.  The District does not allow any new turf grass to be installed and when replacing existing turf, it must be reduced by 50%.  New connection permits are limited to 5 per month.  No hardscape can be hose washed and when washing a car, a bucket and shut-off nozzle must be used.  Penalties are issued.  Other restrictions are in place.  All of the restrictions issued by the current SWRCB resolution have been adopted by ordinance.",0,AF,"3,010,867", 30.2 ,87.24,No Correction,South Lahontan,
15-Nov,11/01/2015  00:00:00,"City of Big Bear Lake, Dept of Water & Power",N/A- permanent restrictions in place,Yes,43.83,38.89,MG,"Camp Oakes, considered wholesale water, used .095 MG this month, which was deducted from our total production data as instructed. ",25643,46.66,"Eighty eight contacts were made regarding leaks, in the form of door tags, letters or phone calls. Leaks are actively monitored by meter readers and identified through our radio read meter program/staff. Any confirmed leaks must be repaired upon detection. Failure to comply with conservation regulations could result in termination of water service (per our Failure to Comply Procedures) and any associated fees/fines. ","In November we answered 29+ inquiries into our toilet rebate program. We conducted 3 outdoor audits and 16 indoor audits. We completed 12 toilet rebates and issued $4,054 in payment for the removal of 8,108 square feet of turf. We also handled 4+ requests for items such as cabin conservation cards, and gave away (at least) 11 low flow showerheads and 21 low flow aerators. All outdoor irrigation must be shut off and drained from Nov. 1 to April1. We have had water use restrictions in place since 2002 that mirror the SWRCB regulations with the exception of the measurable precipitation provision which we also now enforce. Our full Water Conservation Policy can be found at www.bbldwp.com/regulations or is available by request. ",0,MG,"8,070,000", 45.3 ,79.58,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Cerritos  City of,Resolution 2015-16 Emerg. Water Conservation Reg.,Yes,555.14,660.94,AF,,49041,106.97,,,0,AF,Null, 107.0 ,87,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Fresno  City of,2,Yes,2156985000,3088070000,G,"In November, Fresno moved to winter watering restrictions a month early meaning only 1 day of watering per customer as opposed to the 2 days allowed under Stage 2 restrictions the rest of the year.",520159,72,,"The City of Fresno had many of the above actions in place prior to both April 1, 2015 and the implementation of the current drought regulation.",,G,"205,804,210", 71.9 ,52,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,Hollister  City of,2,Yes,62464429,44498532,G,,20635,64.45,,,,G,"27,080,979", 64.5 ,63.9,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Sunnyslope County Water District,Stage 2,Yes,50751052,69840012,G,,19189,81.9,,,,G,"3,620,320", 81.9 ,92.9,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Laguna Beach County Water District,Stage 1,Yes,260.14,313.53,AF,District bills bimonthly. Single family usage is based on actual billed usage in that month with approximately half of the residences being billed each month. CII usage is based on actual billed usage in that month with approximately half of the accounts being billed each month.,19121,79.77,,"During November, the District issued press releases that were picked up by the 3 local newspapers regarding the District's mandatory winter watering schedule (Monday only). The  District also sent biweekly postcards to all 8,065 customers regarding the mandatory winter watering schedules. Signs notifying residents of water saved were updated to reflect current savings. The District began promoting its Irrigation Freeze Challenge, which challenges residents to commit to turning off their irrigation systems from December 1 - February 29. The Challenge was promoted through news articles in the 3 local papers, banners, flyers, social media, weekly email blasts, bill messages, customer postcards, and lawn signs for participants. ",0,AF,"17,367,881", 79.8 ,53.98,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,California-American Water Company Los Angeles District,"CPUC Rule 14.1, Stage 2",Yes,1291,1679,AF,"CA American Water is rolling out its own new Waterwaste violation App for all its districts, providing its customers a new user-friendly and simple solution to document and report water waste observations from their smart phones to CA American Water",102889,107,,,,AF,"99,710,537", 106.3 ,78,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,California-American Water Company San Diego District,"CPUC Rule 14.1, Stage 2",Yes,627,816,AF,"CA American Water is rolling out its own new Waterwaste violation App for all its districts, providing its customers a new user-friendly and simple solution to document and report water waste observations from their smart phones to CA American Water",95358,50,,,,AF,"77,226,788", 50.0 ,70,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,California-American Water Ventura District,"CPUC Rule 14.1, Stage 3",Yes,1094,1306,AF,"CA American Water continues to educate its customers and enforce its Stage 3 Drought restrictions, which include 1 day watering limitations and fixing leaks within 24 hours among other restrictions. Fines are currently being issued for two customers in Ventura who had repeated waterwaste violations. Customers with extensive landscapes can receive a free onsite consultation from an experienced horticulturist and landscape specialist to learn proper watering techniques during the drought and to help save existing trees.  CA American Water is rolling out its own new Waterwaste violation App for all its districts, providing its customers a new user-friendly and simple solution to document and report water waste observations from their smart phones to CA American Water",62144,129,,,,AF,"128,059,611", 128.1 ,67,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Stockton  City of,1,No,529.99,700.37,MG,,177808,70.54,,,,MG,Null, 70.5 ,71,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,Lincoln Avenue Water Company,,Yes,148.87,189.2,AF,,16126,87.25,,,,AF,"6,305,225", 87.2 ,87,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Whittier  City of,City of Whittier Emergency Water Restrictions,Yes,552.08,628.41,AF,"The City of Whittier collects meter reads every two months. Because of this, the percentage of residential consumption will vary month to month with some months reading more meters then others. We have averaged the Percentage Residential Use over a year's period to provide a more stable estimate. Non-revenue water is estimated at 10%. CII water use will vary month to month as these are read bi-monthly.",49954,86.42,Reduced allowed outdoor irrigation days. Instituted new prohibitions on specific water uses. Increased conservation program budget. Increased distribution of water conservation education material for the public. ,"The City of Whittier Council has approved to raise our water consumption rates which took effect September 1, 2015. The City has been using water smart irrigation controllers prior to April 1, 2015. The City has increased it conservation program budget by $54,300. The City has recently hired four Water Ambassadors to assist in our conservation outreach and enforcement efforts. We have increased our conservation program scope to include reaching out to our local Chamber of Commerce businesses, community events, and our school districts.",4.67,AF,"31,402,302", 86.4 ,72,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,San Luis Obispo  City of,1,Yes,352.56,453.17,AF,,45802,50.2,,,,AF,"34,465,305", 50.2 ,60,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,"Kerman, City of",3,Yes,49074000,71453000,G,,14359,79.7515,Resolution passed for zero watering days Added additional PT enforcement person,,,G,Null, 79.7 ,70,No Correction,Tulare Lake,
15-Nov,11/01/2015  00:00:00,La Palma  City of,Stage Two Water Alert,Yes,144.61,172.81,AF,,15544,69.17,,,,AF,"14,136,412", 70.7 ,70,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Santa Margarita Water District,Stage 2,Yes,1767,1895.9,AF,"Total November 2015 Residential Potable Meter Sales = 1,269.3 AF November 2013 Population = 152,612 Total November 2013 Residential Potable Meter Sales = 1,574.3 AF November 2013 residential usage: 83.0% November 2013 ETo was 2.52 with an average temperature of 59.9 degrees and 1.31 of precipitation. November 2015 ETo was 3.24 with an average temperature of 60.2 degrees and 0.44 of precipitation. * Weather data provided by CIMIS station #75 The non-revenue water number was derived by taking 4% of the total amount purchased from MWDOC for the month in question  The recycled water number is the amount of recycled/reclaimed water sold (not produced) in the given month. ",156975,87.8,"In November 2015, eighteen customers received site surveys and the District notified one hundred twenty customers of potential water leaks on the customers side of the meter.  The District is taking an educational and assistance approach to helping customers with high usage and has directly reached out to all domestic irrigation customers whose water use has not been reduced by 24% to date (June-October).  The District also provides all residential customers with access to a WaterSmart Portal so they can view their water use and conservation targets.",Polling indicates drought awareness throughout our District remains high. Recent focus has shifted towards ensuring that customers are aware that our drought ordinance limits irrigation to only one day per week. ,467.9,AF,"175,633,919", 87.8 ,71.8,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Mesa Water District,2,Yes,1169.3,1238.1,AF,"Mesa Water Districts Total Monthly Water Production was 1169.3 acre feet for November 2015. Approximately 347.0 acre feet was from Indirect Potable Reuse (IPR.) Therefore, our adjusted Total Monthly Water Production-IPR is 822.3 acre feet. Mesa Water Districts adjusted Residential GPCD-IPR is 51.1.",108000,72.6,,,,AF,"109,486,079", 72.6 ,61.7,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,California-American Water Company Monterey District,Stage 1 CPUC Rule 14.1.1/ Stage 2 CPUC Rule 14.1,Yes,668.95,899.66,AF,"The following PWS ID numbers: CA2710004, CA2701466, CA2701882, and CA2710022 are under CPUC Rule 14.1.1. The CPUC has approved CA American Water's revised tariff Rule 14.1, Stage 2 mandatory water conservation, which limits outdoor watering to 2 days per week for the following PWS ID numbers: CA2710021, CA2710006, CA2702004, CA2701202, and CA2701257.  This revised tariff (Rule 14.1, Stage 2) is in effect as of June 1, 2015. Total Monthly Potable Water Production reported is the Total Production from the following PWS ID numbers: CA2710004, CA2701466, CA2701882, CA2710022, CA2710021, CA2710006, CA2702004, CA2701202, and CA2701257, which are all within California American Water Companys Monterey District.  ",100623,50.4,"Water waste complaints and enforcement of violations for the following PWS ID numbers: CA2710004, CA2701466, CA2701882, and CA2710022, are handled by the Monterey Peninsula Water Management District (MPWMD).  Water waste complaints or violations observed by California American Water in these service areas are immediately forwarded to MPWMD.   Water waste complaints and enforcement of violations for the following PWS ID numbers: CA2710021, CA2710006, CA2702004, CA2701202, and CA2701257, are handled by California American Water.   Beginning in November 2015, California American Water will be rolling out its own new Waterwaste violation App for all its districts, providing its customers a new user-friendly and simple solution to document and report water waste observations from their smart phones to California American Water. ","The Monterey District has adopted Conservation measures and programs as early as October 1979 and has been a leader in Conservation efforts and water reductions for years. The Monterey District has offered extensive rebate, education and conservation retrofit programs for its customers long before similar programs were adopted by other water utilities. Current rebate program offerings include generous incentives for customers to retrofit indoor plumbing and outdoor irrigation devices in addition to turf removal and grey water systems. Local Code Regulations enforced through the Monterey Peninsula Water Management District (MPWMD) include significant requirements for new construction; visitor -serving commercial uses; and Commercial, Industrial and Institutional customers. Any further usage reduction accomplished should be evaluated in light of the significant successes this District has already achieved.",,AF,"87,240,203", 50.5 ,70,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Arroyo Grande  City of,1,Yes,140.8,237.3,AF,,17121,71.5,478 fifty dollar fines were sent out for violation of our mandatory reduction ordinance.,,0,AF,"9,189,010", 71.5 ,80,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Suisun-Solano Water Authority,2,Yes,68.9,100.3,MG,CII estimated due to SSWA's bimonthly billing system. CII will be revised in January.  PRU is estimated due to the bimonthly billing system and will be revised in January.,29868,70,,,,MG,"17,800,000", 69.2 ,90,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Davis  City of,3,Yes,173.8,256,MG,Please note that the CII figure is estimated at this time and it will be undated once the production figures have been validated.,68315,68,,Ongoing free water conservation classes Distributing free indoor water conservation kits Multi-family water conservation information dissemination Promoting State rebate programs Conducted 10 free leak checks ,0,MG,"30,000,000", 67.8 ,80,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Linda County Water District,3,Yes,59792000,82098000,G,,18808,95.38,,,0,G,Null, 95.4 ,90,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Ceres  City of,Stage 2,Yes,122.779,161.137,MG,,47639,62.15,"The City of Ceres has two full time employees and two temporary staff member to monitor and enforce the year around watering schedule. The two full time staff members work during business hours while the two temporary staff members work a mixture of evenings, weekends and am hours. For the month of November 2015 these four employees handed out 82 courtesy notices, 7 warnings and 4 violations. Additionally, we have set water usage targets for our residents that state, if they go over by 10% they will receive a warning, 25% over a $25 fine will be added to their account, 75% over a $75 fine, and 150% over a $150 fine. For November we issued 284 warnings for going over their usage targets and 602 fines for going over their usage targets. The targets were approved by council and modified this month to take into account the lack of precipitation. The new targets are as follows: January thru February 12,000 gallons, March 22,000 gallons, April thru September 27,000 gallons, October 22,000 gallons with a decrease back down to 12,000 gallons from November thru December. ","The City of Ceres continues to promote water conservation stressing the importance of meeting or surpassing the mandatory reduction goal. To meet this goal the City continues to urge our residents to utilize the five different rebate programs. For the month of November the City granted the following rebates: 32 low-flow toilets, 2 high efficiency washing machines, 0 smart irrigation controllers, 2 Energy Efficient Dishwashers, and 2 Turf Replacement. For a total of 38 rebates granted during the month. ",,MG,"24,373,000", 61.9 ,72,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,Newport Beach  City of,Level 3,Yes,1022.44,1210.2,AF,,66219,64.88,"In addition to issuing citations for permanent restrictions, violations of watering days, times, inefficient water use and other current regulations, the City issues citations for lack of reducing water use compared to usage for same billing period in 2013.","The City has conducted outreach programs including flyers, brochures, bill information, postcards, door hangers, information booths at events, signs in medians, message boards, and signs in communities. Brochures and table tents have been provided to hotels, short term lodging facilities and restaurants. The City has converted from bi-monthly meter reading to monthly meter reading to inform customers about use. In November we have implemented 1 day a week irrigation restrictions and issued 495 warning notices and 41 citations for water use related activities. Additionally, we have hired two additional code enforcement staff to assist with conservation compliance.",32.27,AF,"124,892,335", 65.4 ,39,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Ventura County Waterworks District No. 8,Level 2,Yes,1292.74,1586.53,AF,"The monthly percentage residential use and quantity of water delivered to commercial, industrial and institutional customers are only estimates because water meters are NOT conducted monthly. Each billing cycle is 63 days.",90687,102.19,,"On May 4, 2015, Waterworks Board of Directors modified the Water Conservation Program Ordinance by limiting the number of irrigation days to 3 days/week. Also, the Waterworks Board declared a Level 2 Water Supply Shortage, effective June 25, 2015. Irrigation was further reduced to only 2 days/week from April to October and 1 day/week from November to March. Addtionally, specific watering days are designated for odd and even addresses.",,AF,"143,221,478", 102.2 ,66,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Arcata  City of,3,Yes,49.371,47.544,MG,,18464,50,13 customers were notified of potential water leaks on their monthly billing statement. ,,,MG,"13,268,000", 49.9 ,56,No Correction,North Coast,
15-Nov,11/01/2015  00:00:00,Crescent City  City of,Stage 2,Yes,49.53,53.82,MG,,18290,56.7,,Provided an update to the Public during City Council meeting on 12/7/15. Located and repaired a major water line break which should reduce December usage.  Billing system update is underway that includes changes which will improve reporting capability.  The local newspaper also provided water usage update to the community.   ,0,MG,"18,430,000", 56.7 ,62.8,No Correction,North Coast,
15-Nov,11/01/2015  00:00:00,Crestline Village Water District,1.a,Yes,21502.95,24555.45,CCF,,7590,41.15,,,0,CCF,"1,678,629", 41.2 ,58.26,No Correction,South Lahontan,
